RD|date|age|age_unit|race|gender|stnumber|stdir|st
F289698|15-May-00|15||BLACK|F|10XX|W|87 ST
F328277|31-May-00|28||BLACK|M|79XX|S|VINCENNES AV
F382937|25-Jun-00|46||HISPANIC|M|77XX|S|SANGAMON ST
F383892|26-Jun-00|18||BLACK|M|61XX|S|MAPLEWOOD AV
F582625|19-Sep-00|7|Y|HISPANIC|M|38XX|N|CHRISTIANA AV
F699151|9-Nov-00|16|Y|HISPANIC|F|41XX|N|CENTRAL AV
G147411|11-Mar-01|31|Y|WHITE|M|50XX|N|GLENWOOD AV
G147411|11-Mar-01|||WHITE|M|50XX|N|GLENWOOD AV
G162104|21-Mar-01|15|Y|BLACK|F|44XX|W|THOMAS ST
G165519|22-Mar-01|2|M|BLACK|F|49XX|S|CALUMET AV
G394774|6-Jul-01|3|Y|BLACK|F|35XX|S|LAKE PARK AV
G587413|29-Sep-01|33|Y|BLACK|F|57XX|N|SHERIDAN RD
HL417378|21-Nov-01|48|Y|BLACK|F|14XX|W|51ST ST
G765591|22-Dec-01|74|Y|BLACK|M|101XX|S|RACINE AV
HH783786|16-Nov-02|19|Y|BLACK|M|51XX|S|ELIZABETH ST
HJ543138|30-Jul-03|22|Y|HISPANIC|M|40XX|S|RICHMOND ST
HJ541531|1-Aug-03|47|Y|BLACK|M|27XX|S|INDIANA AVE
HJ544156|2-Aug-03|39|Y|BLACK|F|57XX|S|CALUMET AVE
HJ543785|3-Aug-03|16|Y|BLACK|M|53XX|S|EMERALD AVE
HJ543822|5-Aug-03|14|Y|BLACK|F|46XX|S|WASHTENAW AVE
HJ547256|6-Aug-03|14|Y|HISPANIC|F|48XX|S|BISHOP ST
HJ550499|8-Aug-03|18|Y|WHITE|M|51XX|S|ELIZABETH ST
HJ554007|10-Aug-03|17|Y|BLACK|F|57XX|S|WOOD ST
HJ561178|13-Aug-03|13|Y|BLACK|F|68XX|S|NORMAL BLVD
HJ561011|14-Aug-03|13|Y|BLACK|F|43XX|S|LAKE PARK AVE
HJ822460|4-Dec-03|50|Y|BLACK|M|17XX|N|MENARD AVE
HS482196|1-Mar-04|61|Y|BLACK|M|33XX|N|BROADWAY
HK595328|31-Aug-04|16|Y|BLACK|F|24XX|E|79TH ST
HL142961|21-Jan-05|20|Y|BLACK|M|46XX|S|LEAMINGTON AVE
HM174001|11-Feb-05|18|Y|WHITE|F|8XX|W|MONTROSE AVE
HL415443|8-Jun-05|17|Y|HISPANIC|F|50XX|S|LARAMIE AVE
HL464078|30-Jun-05|17|Y|BLACK|F|58XX|S|MICHIGAN AVE
HL547965|13-Aug-05|16|Y|BLACK|F|99XX|S|PAXTON AVE
HL677665|10-Oct-05|25|Y|WHITE|F|27XX|W|LAWRENCE AVE
HL779187|28-Nov-05|59|Y|HISPANIC|M|28XX|N|LINDER AVE
HM104353|31-Dec-05|20|Y|WHITE|F|57XX|N|SHERIDAN RD
HM264421|31-Mar-06|15|Y|HISPANIC|F|22XX|S|AVERS AVE
HM372030|24-May-06|16|Y|HISPANIC|M|24XX|S|OAKLEY AVE
HM488415|14-Jul-06|53|Y|WHITE|F|55XX|S|FRANCISCO AVE
HM515904|30-Jul-06|27|Y|HISPANIC|F|49XX|N|KEDZIE AVE
